timestamp,risk_level,event_type,location,clip_path,details
2026-03-24 23:46:35,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376188.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:49:03,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376335.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:50:30,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376420.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:54:05,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376635.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:54:36,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376666.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:56:29,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376784.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:59:19,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376953.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:59:25,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376960.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:59:35,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376966.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:59:49,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376982.mp4,Weapon detected in campus camera; weapons=1
2026-03-24 23:59:56,HIGH_RISK,campus_weapon_or_fight,AIML corridor 1st floor,D:\Smart cctv\smart_campus_safety\incidents\clips\incident_1774376990.mp4,Weapon detected in campus camera; weapons=1
